"m_Argens_Therese_1748" "m_Campe_Robinson_1779" "m_Diderot_Die-Nonne_1796" "m_Forster_Ansichten_1791" "m_Hippel_Kreuz-und-Querzuege_1793" "m_Hoelderlin_Hyperion_1797" "m_Hoffmann_Elixiere_1816" "m_Jacobi_Woldemar_1779" "m_Lesage_Gil-Blas_1715" "m_Manzoni_Die-Verlobten_1826" "m_Mueller_Siegfried_1779" "m_Paul_Luftschiffers-Giannozzo_1801" "m_Pfeffel_Biographie-eines-Pudels_1789" "m_Prevost-dExiles_Manon-Lescaut_1731" "m_Schlegel_Lucinde_1799" "m_Scott_Ivanhoe_1819" "m_Sterne_Tristram-Shandy_1759" "m_Swift_Gullivers-Reisen_1726" "m_Thuemmel_Reise-in-mittaegliche-Provinzen_1791" "m_Walpole_Otranto_1764" "w_Fischer_Gustav_1801" "w_Fouque_Falkenstein_1810" "w_La-Roche_Oneida_1798" "w_La-Roche_Sternheim-Teil-1_1771" "w_La-Roche_Sternheim-Teil-2_1771" "w_Schopenhauer_Die-Tante_1823" "w_Unger_Bekenntnisse_1806" "w_Wobeser_Elisa_1795"
"aber" 0.500321844461349 0.490749324841791 0.171276472630483 0.240127629479778 0.138099452934213 0.473172968691374 0.498014482597524 0.602305375748555 0.451710632258417 0.57920179876335 0.717256599609541 0.542522542747035 0.181300181300181 0.622355401155803 0.551525888290938 0.343909624064214 0.498855702656508 0.330655160942367 0.352725558245802 0.567811345359704 0.983953981229186 0.295943740179702 0.54568515441415 0.678901989182828 0.529758365317044 0.356967815716386 0.459188833822191 0.358778012798201
"mich" 0.942126514131898 0.0886774960699746 1.74516838328897 0.0690778112202102 0.109306516801211 0.806686955434194 1.1277738846064 0.488075045865208 1.09038306699237 0.184373243395166 0.229182582123759 0.550005612302166 1.61875161875162 1.46368770271828 0.407794899221179 0.281073484500419 0.232335815058374 0.821597427341553 0.68808071211568 0.502608128667681 1.4078110808356 0.443915610269553 0.66170470075806 1.04550906334156 0.890138205668775 0.406796275118445 0.77677758673005 0.678733031674208
"des" 0.394990929837907 0.331532911443428 0.249971068163407 1.07317313859969 0.642509037782731 0.731646308417059 0.87829946274235 0.186922357990931 0.377335316675082 0.400674536256324 0.545369663016722 0.501365660193811 0.518000518000518 0.325995686319706 0.524785239161681 0.731736980081619 0.433963903936962 0.573606056634777 0.545572496623406 0.518908932840687 0.272479564032698 0.407304013546291 0.701033360535656 0.531806558193216 0.648683712633115 0.424767194902794 0.4753717002124 0.353423117084795
"ihr" 0.485692550763649 0.273086379942763 0.678162249739613 0.171872173155047 0.252204792424259 0.548213615708509 0.282177061434244 0.647305202672297 0.897962525758424 0.490163012928612 0.140056022408964 0.385378082089273 0.388500388500388 0.480761315178557 0.364341344386135 0.422285884165293 0.21147773689852 0.117947115336149 0.321529729978836 0.475440121712671 0.575234635180139 0.691043888151572 0.240888041137778 0.538595578085044 0.565796349352217 0.557098513314818 0.31152017801153 0.700152614527832
"ihm" 0.190180818070104 0.656011931154017 0.182849207267677 0.165293333991217 0.341782815949154 0.177179305457123 0.270030366736744 0.546920973380872 0.472863244947255 0.500505902192243 0.341651812240048 0.0935383694391439 0.505050505050505 0.549911915306979 0.317545208409934 0.277019540012432 0.323300211477737 0.235894230672299 0.295651372439195 0.391219300152141 0.222020385508124 0.283739874605281 0.22319014423786 0.185566543709973 0.189199416184659 0.488482274138213 0.256903003944574 0.425714209215776
"sein" 0.351103048744807 0.491757023660768 0.173591019557922 0.256574727389352 0.52307167308287 0.356443073331388 0.327026395701939 0.443075218941466 0.307054055160555 0.274311410905003 0.494440200322553 0.175852134545591 0.375550375550376 0.329288572040107 0.427850386068122 0.443906921434556 0.386453837017295 0.25605613072976 0.335709651918366 0.377635296674636 0.257341810475325 0.210516681158757 0.296931381320853 0.366607074158727 0.396417824386904 0.317758536186898 0.461211692120967 0.535489571340598
"wenn" 0.313066885130786 0.415171913418517 0.377271149172549 0.323185473923126 0.575325520139059 0.569058239879935 0.147629058631161 0.273460486690436 0.363006127434256 0.384485666104553 0.462609286138698 0.310547386537958 0.22015022015022 0.388560515007327 0.454591035197379 0.39458393016405 0.422955473797039 0.227829470649314 0.342090616791155 0.263529667463595 0.388535674639217 0.215093130749165 0.199592948371302 0.253456742628256 0.291907670684902 0.277732396667211 0.360068777182158 0.484618062063241
"noch" 0.283808297735385 0.486718529565883 0.296262006712186 0.403776253680038 0.283130538641187 0.402301246508525 0.239196449427704 0.373844715981862 0.349359280538232 0.465430016863406 0.331041507512096 0.288098177872563 0.233100233100233 0.444539572254145 0.327572951833406 0.274316910353774 0.359222457197485 0.221780900632076 0.483180840089475 0.203760052162573 0.504591785245736 0.356963068051805 0.299881030804173 0.208196610016067 0.181991819377624 0.459075314491096 0.331748760999292 0.526118503842138
"auch" 0.210661829246884 0.540126566971664 0.289318365929869 0.38403973618855 0.406300320987918 0.51694667945137 0.210231254379818 0.318460313614178 0.230631712542817 0.472175379426644 0.435022493846023 0.213267482321248 0.155400155400155 0.406671386469533 0.628405254537554 0.297289262452366 0.282742837278021 0.420375616198071 0.359461021167078 0.168441643121061 0.216974467655667 0.344759202477385 0.483742515264436 0.330398968068976 0.369389336360524 0.508903773893155 0.394457368261353 0.415004417788964
"ihn" 0.184329100591023 0.3809101535733 0.150445550283532 0.145556816499729 0.27033367813763 0.131321132279985 0.26816164447559 0.470767420125307 0.399170271708722 0.412366498032603 0.224938460232578 0.0935383694391439 0.194250194250194 0.45935755799595 0.297489721562991 0.301343206940353 0.294910049537936 0.153230440436707 0.236450198341658 0.456422516844164 0.247249974770411 0.3539121016582 0.229089443204499 0.201407590124239 0.1873975169829 0.410880575069433 0.212400121371498 0.518086160272029
"hatte" 0.53543214933583 0.492764722479745 0.416618446939012 0.162826269304781 0.297527006707688 0.0938008087714178 0.288717589348283 0.539997923084911 0.446251893500007 0.428105677346824 0.350140056022409 0.0673476259961836 0.595700595700596 0.624001844016003 0.210582611892904 0.259452447231156 0.329673513137692 0.348800870994082 0.180085008632027 0.230928059117583 0.444040771016248 0.251704727472427 0.2241733607323 0.248930729367037 0.275690577869074 0.3871916353537 0.471325983614848 0.327987362446116
"aus" 0.277956580256305 0.343625297271152 0.229140145816456 0.303448956431638 0.28419694368315 0.435652645182807 0.42513431441252 0.276922011838416 0.326841983159791 0.353456998313659 0.320431202784144 0.407827290754668 0.336700336700337 0.271663071933089 0.274091653574891 0.272965595524445 0.268837451838118 0.372995151063036 0.392074841627997 0.2771136709411 0.247249974770411 0.369166933626226 0.212374762799021 0.253456742628256 0.198208912193452 0.303871916353537 0.275108728633559 0.203486037109427
"was" 0.359880624963427 0.536095771695756 0.497627589399375 0.209700498347067 0.405767118466936 0.364780922999958 0.270030366736744 0.470767420125307 0.297501262333338 0.398875772906127 0.437144554791614 0.202042877988551 0.142450142450142 0.293066829115696 0.491359427750109 0.211480770789979 0.419479127437064 0.158270915451072 0.239995178826541 0.383068898065638 0.640831567262085 0.422558845514317 0.250720206082177 0.291927855348616 0.275690577869074 0.304688776343735 0.416708809547891 0.144582184261962
"nach" 0.321844461349406 0.443387480349873 0.261543802800602 0.266442986135096 0.323120727714801 0.191770542377121 0.312076617612707 0.34615251479802 0.368464866192666 0.400224845418775 0.205839911722265 0.291839712650129 0.401450401450401 0.344106557781912 0.220610355316375 0.229047863571255 0.315188736637794 0.411302761172213 0.356979534827661 0.157574440339057 0.282571399737612 0.350861135264595 0.351991505009488 0.27834981556496 0.275690577869074 0.314491096226107 0.305451603115202 0.269083509598651
"um" 0.418397799754228 0.529041879962917 0.349496586043282 0.263153566553182 0.302325829396521 0.343936298828532 0.252277505255781 0.301152687874277 0.472180902602454 0.567509836987071 0.218572277395807 0.37041194297901 0.479150479150479 0.561437015328383 0.187184543904803 0.391881300505392 0.327935339957704 0.367954676048671 0.372931947009632 0.244512062595088 0.307800988999899 0.280688908211676 0.280216700915375 0.373396094050556 0.270284880263798 0.480313674236236 0.390411651663801 0.297196712094032
"nur" 0.403768506056528 0.262001692934016 0.263858349728041 0.361836154010625 0.25273799494524 0.308500437737108 0.40364400840925 0.425767593201565 0.326841983159791 0.280607082630691 0.157032509973686 0.463950312418154 0.12950012950013 0.39843917216853 0.675201390513755 0.25404718791384 0.264202323358151 0.241942800689537 0.416180708925197 0.190176048685068 0.408719346049046 0.283739874605281 0.239904824643338 0.181040530448754 0.162170928158279 0.469694494363666 0.635177505815718 0.37618142386677
