"m_Fischer_Christian_Hannchen_1800" "m_Hauff_Bettlerin_1826" "m_Hippel_Lebenslaeufe_1779" "m_Hoelderlin_Hyperions-Jugend_1797" "m_Jacobi_Eduard-Allwill_1792" "m_Klingemann_Nachtwachen_1804" "m_Paul_Siebenkaes_1796" "m_Prevost-dExiles_Manon-Lescaut_1731" "m_Thuemmel_Reise-in-mittaegliche-Provinzen_1791" "m_Wieland_Agathon_1794" "m_Wieland_Peregrinus_1788" "w_La-Roche_Sternheim-Teil-1_1771" "w_La-Roche_Sternheim-Teil-2_1771" "w_Unger_Bekenntnisse_1806" "w_Wobeser_Elisa_1795"
"wein" 0.0228719551709679 0.0273119571748511 0.021768621636117 0 0 0 0.00732225232481511 0 0.0159524121819709 0.00495644523747568 0.00467573759760602 0 0 0 0.00267744785670299
"wolte" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ferner" 0 0.00273119571748511 0.00157743635044326 0.00832847505621721 0.00806289054626083 0.00257658911133442 0.0185872559014537 0.00329288572040107 0.00212698829092946 0.00123911130936892 0.000935147519521204 0 0 0 0.0013387239283515
"sachen" 0.00762398505698929 0 0.0160898507745212 0 0.0201572263656521 0.00515317822266883 0.0157710050072941 0 0.0024814863394177 0.0117715574390047 0.00935147519521204 0.015841046414266 0.0216227904211038 0.00809143319510468 0.00669361964175748
"also" 0.0495559028704304 0.0546239143497023 0.0589961195065779 0 0.048377343277565 0.0103063564453377 0.0405540128758991 0.0740899287090242 0.0241058672972005 0.127008909210314 0.100060784588769 0.0611011790264545 0.052255076851001 0.0546171740669566 0.0843396074861442
"hierauf" 0 0 0.00126194908035461 0 0.00806289054626083 0.00257658911133442 0 0 0.000354498048488243 0.00433688958279122 0.0130920652732969 0.0113150331530471 0.00900949600879327 0.0101142914938809 0.010709791426812
"solte" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"hatt" 0 0 0.0126194908035461 0.0333139002248688 0 0 0.0354847612664117 0 0.00212698829092946 0 0 0.00226300663060943 0 0 0
"vergnügen" 0.0266839476994625 0.0136559785874256 0.00883364356248225 0 0 0.00515317822266883 0.0123915039343025 0.0362217429244118 0.0205608868123181 0.101607127368251 0.0215083929489877 0.0814682387019394 0.117123448114312 0.0404571659755234 0.0615813007041688
"leser" 0 0.00273119571748511 0.0492160141338297 0 0.0161257810925217 0 0.0309787598357562 0.00823221430100268 0.00531747072732365 0.030977782734223 0.00561088511712723 0.00226300663060943 0 0.00809143319510468 0.0013387239283515
"hinein" 0.0304959402279572 0.00546239143497023 0.00347035997097517 0.0249854251686516 0.00403144527313042 0.0231893020020097 0.0236565075109411 0.00823221430100268 0.00567196877581189 0.00123911130936892 0.00841632767569084 0.00452601326121886 0 0 0.00803234357010897
"solche" 0 0.0682798929371279 0.0214531343660283 0.0166569501124344 0.0403144527313042 0.0231893020020097 0.0597045189561848 0.0345753000642113 0.0244603653456888 0.0334560053529609 0.0327301631832422 0.00678901989182828 0.0198208912193452 0.0485485991706281 0.013387239283515
"daraus" 0.00381199252849464 0.00546239143497023 0.00567877086159573 0 0.00403144527313042 0.0206127128906753 0.016334255186126 0.0164644286020054 0.00673546292127662 0.0111520017843203 0.0177678028709029 0.015841046414266 0.00900949600879327 0.0141600080914332 0.0013387239283515
"konte" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"unten" 0.0114359775854839 0 0.00599425813168439 0.00832847505621721 0.00806289054626083 0.0592615495606916 0.0304155096569243 0.00164644286020054 0.00106349414546473 0.00185866696405338 0 0 0.00180189920175865 0 0
"hätt" 0.00762398505698929 0 0.036281036060195 0.041642375281086 0.00806289054626083 0 0.0219667569744453 0 0.00319048243639419 0 0 0.00226300663060943 0 0.00202285829877617 0
"vorher" 0.0152479701139786 0.0109247828699405 0.00441682178124113 0 0.00403144527313042 0.0103063564453377 0.0275992587627647 0.0164644286020054 0.0155979141334827 0.0136302244030581 0.00841632767569084 0.015841046414266 0.0108113952105519 0.0303428744816426 0
"überhaupt" 0.00381199252849464 0.00546239143497023 0.0123040035334574 0.00832847505621721 0.0161257810925217 0.0334956584473474 0.0388642623394033 0.0312824143438102 0.00212698829092946 0.0105324461296358 0.0149623603123393 0.00452601326121886 0.0198208912193452 0.0161828663902094 0
"inzwischen" 0 0 0.00126194908035461 0 0 0 0.0135180042919664 0.0131715428816043 0.00602646682430013 0.0130106687483737 0.00748118015616964 0.00226300663060943 0 0 0.0013387239283515
